,name,latitude,longitude,description
84,Residència Assistida Dolça Llar,41.40277741914784,2.128822057534149,elderly_homes
85,Residència Assistida Sanitas Residencial Les Corts,41.3826493307645,2.133283590979848,elderly_homes
86,Residència Assistida per a Gent Gran Anna,41.39135000391428,2.164042623455636,elderly_homes
87,Residència Assistida per a Gent Gran Arcoiris II,41.40646077802632,2.167276974840649,elderly_homes
88,Residència Assistida per a Gent Gran Porta,41.432490461624035,2.176206849598584,elderly_homes
89,Residència Assistida per a Gent Gran Collserola,41.4350981879259,2.14687682043505,elderly_homes
90,Residència Assistida per a Gent Gran Catalunya,41.417297420735046,2.16531225692553,elderly_homes
91,Residència Assisitida per a Gent Gran Los Olivos,41.42178589277801,2.16013020989901,elderly_homes
92,Llar de l'Avi Miquel,41.39776917327992,2.158524597327586,elderly_homes
93,Residència Assistida per a Gent Gran Ballesol *Almogàvers,41.39273677491331,2.184336902016849,elderly_homes
94,Residència Assistida per a Gent Gran DomusVi Regina,41.40909020340271,2.149646001703683,elderly_homes
95,Residència Assistencial per a Gent Gran Refugi d'Obreres,41.40830297314985,2.148211213997876,elderly_homes
96,Residència Assistida per a Gent Gran Hogar La Salud,41.41849313112457,2.143976616922047,elderly_homes
97,Residència Assistida per a Gent Gran Centre Gerontològic Azurimar,41.42254655113913,2.139323634270956,elderly_homes
98,Residència Assistida Catalunya IV,41.38908790037047,2.165957929297186,elderly_homes
99,Residència Assistida Catalunya III,41.38908790037047,2.165957929297186,elderly_homes
100,Residència Assistida per a Gent Gran Los Tilos,41.41004767932567,2.164797468381952,elderly_homes
101,Residència Assistida per a Gent Gran Jaume Batlle,41.399155916364066,2.205931432289405,elderly_homes
102,Residència Assistida per a Gent Gran  Mediterránea II,41.39206371135132,2.170500126305295,elderly_homes
103,Residència Assistida per a Gent Gran Emily,41.401566012751786,2.145265798287345,elderly_homes
104,Residència Assistida per a Gent Gran Las Violetas,41.385113205639236,2.162078886129588,elderly_homes
105,Residència Assistida per a Gent Gran IPF Servicios Geriatricos,41.39323951913919,2.176031912386756,elderly_homes
106,Residència Assistida per a Gent Gran El Vent,41.431086134942355,2.160931194660998,elderly_homes
107,Residència Assistida per a Gent Gran Vivaldi,41.38957303812843,2.174765917937609,elderly_homes
108,Residència Assistida Sanitas Residencial Sagrada Família,41.406407536216285,2.178676313837823,elderly_homes
109,Residència Assistida per a Gent Gran Coloma,41.428424726772406,2.165831558753643,elderly_homes
110,Residència Assistida per a Gent Gran Mas Piteu,41.425573387646594,2.13669153233371,elderly_homes
111,Residència La Immaculada,41.39698652710305,2.17153207381512,elderly_homes
112,Residència Assistida per a Gent Gran Collserola,41.37797438181999,2.178415462353017,elderly_homes
113,Residència Assistida per a Gent Gran Vallserena,41.37822733900477,2.152862164073698,elderly_homes
114,Residència Assistida per a Gent Gran Vallbona,41.46274089501022,2.183859313706562,elderly_homes
115,Residència Assistida per a Gent Gran Centro Gerontològico Anna,41.42235396291495,2.183348728684069,elderly_homes
116,Llar Residència,41.392893657736806,2.176177317349162,elderly_homes
117,Residència Assistida per a Gent Gran d'Horta,41.42547688445588,2.150118265217899,elderly_homes
118,Residència Assistida per a Gent Gran Vil·la Magda,41.42101818899739,2.118798075803336,elderly_homes
119,Residència Assistida per a Gent Gran Josep Miracle,41.37429434731967,2.136546954626988,elderly_homes
120,Residència Assistida per a Gent Gran Casa de Família,41.39932259577371,2.12043967155645,elderly_homes
121,Residència Assistida per a Gent Gran Mossèn  Vidal i Aunós,41.37036524890633,2.1402652432644,elderly_homes
122,Residència Assistida per a Gent Gran Verdi Residencial,41.40742296821523,2.153390139772646,elderly_homes
123,Residència Assistida per a Gent Gran La Trobada,41.39583710910589,2.187732578611718,elderly_homes
124,Residència Assistida per a Gent Gran Sharedx Care,41.415212339854065,2.165591748294629,elderly_homes
125,Residència Assistida per a Gent Gran Pare Batllori,41.373169117794994,2.171470877043733,elderly_homes
126,Residència Assistida per a Gent Gran Pro Avis en Família,41.4002624447004,2.14157693438819,elderly_homes
127,Residència Assistida per a Gent Gran Llar Malpa,41.383402708423574,2.159804120686019,elderly_homes
128,Residència Assistida per a Gent Gran Les Dàlies,41.42388512940347,2.176435095806261,elderly_homes
129,Residència Assistida Maria Rifa,41.39196016437069,2.172891516843737,elderly_homes
130,Residència Assistida per a Gent Gran Jardín Residencia Pedralbes,41.3954194367738,2.114324015001823,elderly_homes
131,Residència Assistida Sanitas Residencial Provença,41.407277687446125,2.178369878270119,elderly_homes
132,Residència Assistida per a Gent Gran Arrels,41.37822733900477,2.152862164073698,elderly_homes
133,Residència Assistida per a Gent Gran DomusVi  La Salut Josep Servat,41.41380783366364,2.15680239520981,elderly_homes
134,Residència Assistida per a Gent Gran Bonavita,41.42400913616314,2.162948086778992,elderly_homes
135,Residència Assistida per a Gent Gran Joan Josep,41.43198448031615,2.169748933261028,elderly_homes
136,Residència Assistida per a Gent Gran Ballesol *Fabra i Puig,41.43013569512994,2.180120501749241,elderly_homes
137,Centre Residencial Mutuam Collserola,41.4350981879259,2.14687682043505,elderly_homes
138,Residència Assistida per a Gent Gran GRUSEAN,41.41175062645051,2.199398815699002,elderly_homes
139,Residència Assistida per a Gent Gran Pedralbes Park Residencial,41.399360209783595,2.114771587797944,elderly_homes
140,Residència Assistida per a Gent Gran Santa Rita,41.38285647629479,2.16869150202581,elderly_homes
141,Residència Assistida Clara,41.422805490768795,2.160381971081953,elderly_homes
142,Residència Assistida per a Gent Gran El Jardí 2000,41.387836890187245,2.166581176711558,elderly_homes
143,Residència Assistida per a Gent Gran Llull,41.40100662755974,2.201962488582835,elderly_homes
144,Residència Assistida per a Gent Gran Kristel Oro,41.42366749354956,2.204733529734488,elderly_homes
145,Residència Assistida per a Gent Gran Icària Residencial,41.39794594031082,2.205241182737092,elderly_homes
146,Residència Assistida per a Gent Gran Santa Creu,41.40558016371234,2.141359525606939,elderly_homes
147,Residència Assistida per a Gent Gran Virreina,41.40596818244125,2.159237845958041,elderly_homes
148,Residència Assistida per a Gent Gran Sibelius,41.41020224811601,2.186217847286421,elderly_homes
149,Residència Assistida per a Gent Gran Arcoiris I,41.40646077802632,2.167276974840649,elderly_homes
150,Residència Assistida per Gent Gran Claror,41.39784612102003,2.166992217630626,elderly_homes
151,Residència Assistida per a Gent Gran DomusVi  Bonanova,41.402593883902334,2.127171208308606,elderly_homes
152,Residència Assistida per a Gent Gran Sant Gervasi Parc,41.40603763137005,2.1376911364445252,elderly_homes
153,Residència Nuestra Señora de Meritxell,41.3868327304846,2.165241229469551,elderly_homes
154,Residència Assistida per a Gent Gran Francesc Layret,41.380131600119384,2.15545501886462,elderly_homes
155,Residència Assistida per a Gent Gran El Mussol,41.39113709219098,2.173984681361985,elderly_homes
