Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,40-44 anys,154
2007,1,Ciutat Vella,3,la Barceloneta,Dona,40-44 anys,72
2007,1,Ciutat Vella,2,el Barri Gòtic,Dona,40-44 anys,79
2007,1,Ciutat Vella,1,el Raval,Dona,40-44 anys,182
2007,99,No consta,99,No consta,Dona,35-39 anys,7
2007,10,Sant Martí,73,la Verneda i la Pau,Dona,35-39 anys,67
2007,10,Sant Martí,72,Sant Martí de Provençals,Dona,35-39 anys,76
2007,10,Sant Martí,71,Provençals del Poblenou,Dona,35-39 anys,45
2007,10,Sant Martí,70,el Besòs i el Maresme,Dona,35-39 anys,59
2007,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,35-39 anys,69
2007,10,Sant Martí,68,el Poblenou,Dona,35-39 anys,175
2007,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,35-39 anys,38
2007,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,35-39 anys,49
2007,10,Sant Martí,65,el Clot,Dona,35-39 anys,126
2007,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,35-39 anys,179
2007,9,Sant Andreu,63,Navas,Dona,35-39 anys,77
2007,9,Sant Andreu,62,el Congrés i els Indians,Dona,35-39 anys,52
2007,9,Sant Andreu,61,la Sagrera,Dona,35-39 anys,80
2007,9,Sant Andreu,60,Sant Andreu,Dona,35-39 anys,247
2007,9,Sant Andreu,59,el Bon Pastor,Dona,35-39 anys,32
2007,9,Sant Andreu,58,Baró de Viver,Dona,35-39 anys,11
2007,9,Sant Andreu,57,la Trinitat Vella,Dona,35-39 anys,27
2007,8,Nou Barris,56,Vallbona,Dona,35-39 anys,2
2007,8,Nou Barris,55,Ciutat Meridiana,Dona,35-39 anys,19
2007,8,Nou Barris,54,Torre Baró,Dona,35-39 anys,1
2007,8,Nou Barris,53,la Trinitat Nova,Dona,35-39 anys,24
2007,2,Eixample,6,la Sagrada Família,Dona,40-44 anys,237
2007,2,Eixample,7,la Dreta de l'Eixample,Dona,40-44 anys,188
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,40-44 anys,192
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,40-44 anys,236
2007,7,Horta-Guinardó,37,el Carmel,Dona,40-44 anys,79
2007,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,40-44 anys,21
2007,7,Horta-Guinardó,35,el Guinardó,Dona,40-44 anys,120
2007,7,Horta-Guinardó,34,Can Baró,Dona,40-44 anys,44
2007,7,Horta-Guinardó,33,el Baix Guinardó,Dona,40-44 anys,99
2007,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,40-44 anys,146
2007,6,Gràcia,31,la Vila de Gràcia,Dona,40-44 anys,327
2007,6,Gràcia,30,la Salut,Dona,40-44 anys,32
2007,6,Gràcia,29,el Coll,Dona,40-44 anys,30
2007,6,Gràcia,28,Vallcarca i els Penitents,Dona,40-44 anys,67
